"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"Sampson Regional Medical Center","Clinton","North Carolina","Government","2","Same","Same","Below","Below","Below","Below","Same","0","Unknown","Unknown","15032","Average","Lower","16969","Average","Average","21969","Average","Average"
"Unc Lenoir Health Care","Kinston","North Carolina","Private","1","Same","Below","Below","Same","Same","Same","Same","21717","Average","Lower","15534","Average","Lower","17644","Worse","Average","26695","Average","Higher"
"Cape Fear Valley Medical Center","Fayetteville","North Carolina","Private","3","Above","Below","Above","Below","Same","Below","Above","22027","Average","Lower","14791","Better","Lower","16935","Average","Average","21041","Average","Lower"
"Duke University Hospital","Durham","North Carolina","Proprietary","4","Same","Above","Below","Above","Same","Below","Same","22444","Average","Average","16600","Average","Average","17399","Average","Average","19819","Worse","Lower"
"Caromont Regional Medical Center","Gastonia","North Carolina","Government","2","Below","Above","Same","Below","Same","Same","Same","22952","Average","Average","16345","Average","Average","17946","Average","Average","20784","Average","Lower"
"Carolinas Healthcare System Kings Mountain","Kings Mountain","North Carolina","Government","5","Same","None","Above","Same","Same","Above","Same","0","Unknown","Unknown","17227","Average","Average","16870","Average","Average","0","Unknown","Unknown"
"Iredell Memorial Hospital Inc","Statesville","North Carolina","Private","3","Same","Above","Above","Below","Above","Same","Above","25127","Average","Average","15793","Average","Average","16820","Worse","Average","22077","Average","Average"
"Vidant Medical Center","Greenville","North Carolina","Private","3","Below","Above","Below","Below","Same","Below","Above","22745","Average","Lower","16342","Average","Average","17828","Average","Average","22949","Average","Higher"
"Caldwell Memorial Hospital","Lenoir","North Carolina","Unknown","2","Same","Below","Same","Below","Above","Same","Above","22359","Average","Average","17634","Average","Average","18614","Worse","Average","24901","Average","Higher"
"Onslow Memorial Hospital","Jacksonville","North Carolina","Government","2","Same","Below","Same","Below","Same","Below","Same","24058","Average","Average","15544","Average","Average","17079","Average","Average","23870","Average","Higher"
"North Carolina Baptist Hospital","Winston-salem","North Carolina","Private","3","Same","Below","Below","Same","Same","Below","Above","22230","Average","Lower","16177","Average","Average","18026","Better","Average","20135","Average","Lower"
"North Carolina Specialty Hospital","Durham","North Carolina","Proprietary","-1","None","None","None","Above","Same","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","18635","Average","Lower"
"Southeastern Regional Medical Center","Lumberton","North Carolina","Private","2","Same","Same","Below","Below","Below","Below","Same","22126","Average","Average","14346","Average","Lower","15566","Average","Lower","23461","Average","Higher"
"Watauga Medical Center","Boone","North Carolina","Government","4","Same","Above","Above","Same","Same","Same","Above","23117","Average","Average","16686","Average","Average","16344","Average","Average","20250","Average","Lower"
"Novant Health Presbyterian Medical Center","Charlotte","North Carolina","Private","3","Below","Below","Above","Below","Same","Same","Above","23500","Average","Average","16243","Average","Average","16506","Average","Lower","19893","Average","Lower"
"Unc Rockingham","Eden","North Carolina","Private","3","Below","Same","Same","Same","Same","Below","Same","24448","Average","Average","16275","Average","Average","15176","Worse","Lower","0","Unknown","Unknown"
"University Of North Carolina Hospital","Chapel Hill","North Carolina","Government","3","Below","Above","Below","Above","Same","Below","Same","21391","Average","Lower","16415","Average","Average","17972","Average","Average","26159","Average","Higher"
"Wilkes Regional Medical Center","North Wilkesboro","North Carolina","Government","3","Same","Above","Above","Same","Same","Same","Same","22765","Average","Average","15994","Average","Average","19382","Average","Higher","22409","Average","Average"
"Columbus Regional Healthcare System","Whiteville","North Carolina","Unknown","3","Same","Above","Above","Same","Same","Same","Below","25056","Average","Average","15410","Average","Average","17026","Average","Average","25290","Average","Higher"
"Wakemed, Raleigh Campus","Raleigh","North Carolina","Private","3","Below","Below","Above","Above","Same","Below","Above","23298","Average","Average","15708","Average","Lower","16746","Worse","Average","20499","Average","Lower"
"Alamance Regional Medical Center","Burlington","North Carolina","Private","1","Below","Below","Same","Below","Same","Below","Same","21146","Average","Lower","16039","Worse","Average","17339","Worse","Average","21730","Average","Average"
"Betsy Johnson Regional  Hospital","Dunn","North Carolina","Private","2","Same","Same","Below","Same","Above","Below","Same","23889","Average","Average","15987","Average","Average","15807","Average","Lower","22522","Average","Average"
"Duke Health Raleigh Hospital","Raleigh","North Carolina","Private","4","Same","Above","Above","Same","Same","Below","Same","23294","Average","Average","16285","Average","Average","15730","Average","Lower","21204","Average","Lower"
"Carolinas Healthcare System-blue Ridge","Morganton","North Carolina","Proprietary","3","Same","Below","Above","Same","Same","Same","Same","20853","Average","Lower","15494","Average","Average","16324","Average","Lower","22284","Average","Average"
"Carolinas Health Care System Anson","Wadesboro","North Carolina","Government","-1","None","None","None","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","19005","Average","Average","0","Unknown","Unknown"
"Novant Health Thomasville Medical Center","Thomasville","North Carolina","Private","3","Same","Above","Above","Same","Same","Below","Same","0","Unknown","Unknown","16051","Average","Average","16997","Average","Average","21207","Average","Average"
"Mission Hospital Mcdowell","Marion","North Carolina","Private","3","Same","None","Same","Above","Same","Same","Same","0","Unknown","Unknown","15583","Average","Average","16491","Average","Average","0","Unknown","Unknown"
"Johnston Health","Smithfield","North Carolina","Government","4","Above","Above","Same","Above","Same","Same","Same","24205","Average","Average","15878","Better","Average","18118","Average","Average","25083","Average","Higher"
"The Moses H Cone Memorial Hospital","Greensboro","North Carolina","Private","5","Same","Above","Above","Same","Same","Below","Above","20606","Average","Lower","15646","Average","Lower","16622","Average","Lower","19939","Average","Lower"
"Lexington Memorial Hospital Inc","Lexington","North Carolina","Private","4","Same","Same","Above","Above","Same","Same","Same","0","Unknown","Unknown","14988","Average","Average","16685","Average","Average","22981","Average","Average"
"Hugh Chatham Memorial Hospital","Elkin","North Carolina","Private","3","Same","Above","Below","Above","Same","Same","Above","22737","Average","Average","15322","Average","Average","17556","Average","Average","22351","Average","Average"
"Carolinas Healthcare System Pineville","Charlotte","North Carolina","Government","3","Same","Above","Above","Same","Same","Below","Above","22260","Average","Average","15907","Average","Average","17369","Average","Average","22190","Average","Average"
"Vidant Roanoke Chowan Hospital","Ahoskie","North Carolina","Private","2","Same","Below","Below","Same","Same","Same","Same","23530","Average","Average","15707","Average","Average","18075","Average","Average","21554","Average","Average"
"Vidant Edgecombe Hospital","Tarboro","North Carolina","Government","3","Same","Above","Below","Above","Same","Below","Same","24595","Average","Average","16668","Average","Average","17101","Average","Average","23988","Average","Average"
"Sentara Albemarle Medical Center","Elizabeth City","North Carolina","Government","1","Below","Same","Below","Below","Below","Same","Same","24573","Average","Average","16873","Average","Average","16577","Worse","Average","22292","Average","Average"
"Carolinas Medical Center/behav Health","Charlotte","North Carolina","Government","3","Below","Above","Above","Below","Below","Below","Below","22692","Average","Average","16263","Average","Average","17135","Average","Average","18904","Better","Lower"
"Rex Hospital","Raleigh","North Carolina","Government","4","Same","Above","Above","Above","Same","Same","Above","21360","Average","Lower","15931","Average","Lower","17299","Worse","Average","19093","Better","Lower"
"Firsthealth Moore Regional Hospital","Pinehurst","North Carolina","Private","4","Above","Below","Above","Above","Same","Below","Above","21294","Average","Lower","15786","Average","Lower","15707","Better","Lower","19342","Average","Lower"
"Frye Regional Medical Center","Hickory","North Carolina","Proprietary","3","Below","Same","Above","Same","Same","Below","Above","23826","Average","Average","15979","Average","Average","17772","Worse","Average","20806","Average","Lower"
"Carolinas Healthcare System Stanly","Albemarle","North Carolina","Private","2","Same","Below","Above","Below","Same","Same","Below","23644","Average","Average","16814","Average","Average","17714","Average","Average","19306","Average","Lower"
"Vidant Duplin  Hospital","Kenansville","North Carolina","Government","4","Same","None","Same","Same","Same","Below","Same","23654","Average","Average","13965","Average","Lower","17576","Average","Average","0","Unknown","Unknown"
"Randolph Hospital","Asheboro","North Carolina","Private","3","Same","Below","Above","Below","Same","Same","Same","22337","Average","Average","15396","Average","Average","18340","Average","Average","20471","Average","Average"
"Wilson Medical Center","Wilson","North Carolina","Private","3","Same","Above","Below","Below","Same","Below","Above","24880","Average","Average","15503","Average","Lower","17904","Worse","Average","21151","Average","Average"
"Granville Health Systems","Oxford","North Carolina","Government","2","Same","Same","Below","Same","Below","Above","Same","21099","Average","Average","15048","Average","Average","15828","Average","Lower","23310","Worse","Average"
